"Квартира";"Балкон 1 К*0,3";"Балкон 2К*0,3";"Ванна кімната";"Ванна кімната 1";"Вітальня 1";"Вітальня 2";"Гардеробна 1";"Кабінет";"Комора";"Комора 1";"Коридор 1";"Коридор 2";"Кухня";"Кухня-їдальня";"Лоджія 1 К*0,5";"Ліфт 1";"Ліфт 2";"Передпокій";"С/в 1";"С/в 2";"Спальня 1";"Спальня 2";"Спальня 3";"Сходова клітка 1_Для обслуговування";"Сходова клітка 2_Для обслуговування";"Сходова клітка 3_Для обслуговування";"Тамбур 1";"Тамбур 2";"Тераса 1";"Тераса 1 К*0,3";"Технічне приміщення 1";"Технічне приміщення 2";
"KV/40/2.14_1_1_4";;;;"3.88";"18.68";;;;;;;;"16.67";;"1.74";;;"8.78";"2.21";;"10.31";;;;;;;;;;;;
"KV/41/1.8_1_1_3";"2.4";;;;;;;;;;;;"14.07";;;;;"6.75";"3.92";;"24.68";;;;;;;;;;;;
"KV/42/1.9_1_1_2";;;;"3.85";"25.35";;;;;;;;"9.4";;"1.79";;;"5.61";;;;;;;;;;;;;;;
"KV/43/1.12_1_1_1";;;;"3.62";"25.76";;;;;;;;"8.92";;"1.79";;;"6.15";;;;;;;;;;;;;;;
"KV/44/2.15_1_1_1";"2.01";;;"4.19";"13.33";;"1.36";;;;;;"10.08";;;;;"6.75";"2.87";;"28.02";;;;;;;;;;;;
"KV/45/3.14_1_2_8/7";"4.82";"2.59";;"4.51";"17.24";;;;"3.72";;;;"11.62";;;;;"10.27";"2.85";;"15.6";"13.18";;;;;;;;;;;
"KV/46/2.24_1_2_7/6";"2.61";;;"4.96";;;;;;;;;;"28.1";;;;"4.37";"4.96";;"10.21";"17.29";;;;;;;;;;;
"KV/47/3.15_1_2_6/5";"4.82";"8.08";;"4.54";"17.22";;;;"3.67";;;;"11.55";;;;;"9.76";"2.98";;"15.59";"13.18";;;;;;;;;;;
"KV/48/2.25_1_1_4";"2.3";;;"3.88";"12.86";;;;;;;;"16.68";;;;;"7.75";"2.2";;"10.33";;;;;;;;;;;;
"KV/49/4.1_1_1_3/2";;;;"5.88";"17.15";;;;;;;;"15.66";;;;;"14.7";"4.44";;"14.02";"10.01";"11.3";;;;;;"31.08";;;;
"KV/50/3.16_1_1_1";"2.01";"2.67";;"4.19";"13.33";;"4.39";;;;;;"10.1";;;;;"12.72";"2.88";;"15.33";"17.41";;;;;;;;;;;
"KV/51/3.27_1_2_8";"4.82";;;"4.51";"17.24";;"3.72";;;;;;"11.58";;;;;"10.27";"2.85";;"15.6";"13.18";;;;;;;;;;;
"KV/52/3.29_1_2_5/4";"4.82";;;"4.53";"17.22";;;"17.07";"3.67";;;;"11.46";;;;;"9.76";"2.98";"4.35";"15.59";"13.18";;;;;;;;;;;
"KV/53/4.3_1_1_3/2";;;;"5.88";"17.15";;;;;;;;"15.69";;;;;"17.38";"4.44";;"14.02";"10.01";"11.3";;;;;;;"9.16";;;
"KV/54/3.30_1_1_1";"2.01";;;"4.19";"13.33";;"4.39";;;;;;"10.08";;;;;"12.72";"2.87";;"15.32";"17.41";;;;;;;;;;;
"KV/55/3.35_1_2_8/7";;;;"4.51";"16.04";;;;;;"7.73";;"11.63";"35.12";;;;"18.36";"2.85";"2.77";"11.78";"13.18";;;;;;;;"12.36";;;
"KV/56/3.36_1_2_6/5";;;;"4.53";"16.03";;;;;;"7.77";;"11.6";"35.13";;;;"17.94";"2.97";"2.83";"11.77";"13.18";;;;;;;;"11.68";;;
"KV/57/4.5_1_1_3/2";;;;"5.88";"17.15";"30.82";;;;;;;"15.01";;;;;"14.8";"4.44";"7.66";"14.02";"10.01";"11.3";;;;;;;"20.6";;;
"KV/58/3.37_1_1_1";;;;"4.1";"12.52";"30.1";"4.21";;;;;;"12.51";;;;;"16.62";"3.22";"3.49";"17.71";"16.02";;;;;;;;"8.32";;;
"MZK_1_1";;;;;;;;;;"6.96";"11.56";;;;;"3.19";;;;;;;;"15.04";;"12.79";"4.73";;;;"7.22";;
"MZK_1_2";;;;;;;;;;;;"5.39";;;;;"3.19";;;;;;;;"14.9";;;"5.94";;;;"5";
